pokedex_number,name,generation,type1,type2,ability1,ability2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,normal,fire,water,grass,electric,rock,ground,flying,fighting,ice,bug,steel,poison,psychic,dark,ghost,fairy,dragon
122,Mr. Mime,1,psychic,fairy,Soundproof,Filter,460,40,45,65,100,120,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.0
123,Scyther,1,bug,flying,Swarm,Technician,500,70,110,80,55,80,105,1.0,2.0,1.0,0.25,2.0,4.0,0.0,2.0,0.25,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,Jynx,1,ice,psychic,Oblivious,Forewarn,455,65,50,35,115,95,95,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
125,Electabuzz,1,electric,-,Static,Vital Spirit,490,65,83,57,95,85,105,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
126,Magmar,1,fire,-,Flame Body,Vital Spirit,495,65,95,57,100,85,93,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
127,Pinsir,1,bug,-,Hyper Cutter,Mold Breaker,600,65,155,120,65,90,105,1.0,2.0,1.0,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,Tauros,1,normal,-,Intimidate,Anger Point,490,75,100,95,40,70,110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
129,Magikarp,1,water,-,Swift Swim,Rattled,200,20,10,55,15,20,80,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
130,Gyarados,1,water,flying,Intimidate,Moxie,640,95,155,109,70,130,81,1.0,0.5,0.5,1.0,4.0,2.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
131,Lapras,1,water,ice,Water Absorb,Shell Armor,535,130,85,80,85,95,60,1.0,1.0,0.5,2.0,2.0,2.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,Ditto,1,normal,-,Limber,Imposter,288,48,48,48,48,48,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
133,Eevee,1,normal,-,Run Away,Adaptability,325,55,55,50,45,65,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
134,Vaporeon,1,water,-,Water Absorb,Hydration,525,130,65,60,110,95,65,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
135,Jolteon,1,electric,-,Volt Absorb,Quick Feet,525,65,65,60,110,95,130,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
136,Flareon,1,fire,-,Flash Fire,Guts,525,65,130,60,95,110,65,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
137,Porygon,1,normal,-,Trace,Download,395,65,60,70,85,75,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
138,Omanyte,1,rock,water,Swift Swim,Shell Armor,355,35,40,100,90,55,35,0.5,0.25,1.0,4.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
139,Omastar,1,rock,water,Swift Swim,Shell Armor,495,70,60,125,115,70,55,0.5,0.25,1.0,4.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
140,Kabuto,1,rock,water,Swift Swim,Battle Armor,355,30,80,90,55,45,55,0.5,0.25,1.0,4.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
141,Kabutops,1,rock,water,Swift Swim,Battle Armor,495,60,115,105,65,70,80,0.5,0.25,1.0,4.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
142,Aerodactyl,1,rock,flying,Rock Head,Pressure,615,80,135,85,70,95,150,0.5,0.5,2.0,1.0,2.0,2.0,0.0,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0
143,Snorlax,1,normal,-,Immunity,Thick Fat,540,160,110,65,65,110,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
144,Articuno,1,ice,flying,Pressure,Snow Cloak,580,90,85,100,95,125,85,1.0,2.0,1.0,0.5,2.0,4.0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0
145,Zapdos,1,electric,flying,Pressure,Static,580,90,90,85,125,90,100,1.0,1.0,1.0,0.5,1.0,2.0,0.0,0.5,0.5,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
146,Moltres,1,fire,flying,Pressure,Flame Body,580,90,100,90,125,85,90,1.0,0.5,2.0,0.25,2.0,4.0,0.0,1.0,0.5,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.5,1.0
147,Dratini,1,dragon,-,Shed Skin,Marvel Scale,300,41,64,45,50,50,50,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
148,Dragonair,1,dragon,-,Shed Skin,Marvel Scale,420,61,84,65,70,70,70,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
149,Dragonite,1,dragon,flying,Inner Focus,Multiscale,600,91,134,95,100,100,80,1.0,0.5,0.5,0.25,1.0,2.0,0.0,1.0,0.5,4.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0
150,Mewtwo,1,psychic,-,Pressure,Unnerve,780,106,150,70,194,120,140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
151,Mew,1,psychic,-,Synchronize,-,600,100,100,100,100,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
152,Chikorita,2,grass,-,Overgrow,Leaf Guard,318,45,49,65,49,65,45,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
153,Bayleef,2,grass,-,Overgrow,Leaf Guard,405,60,62,80,63,80,60,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
154,Meganium,2,grass,-,Overgrow,Leaf Guard,525,80,82,100,83,100,80,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
155,Cyndaquil,2,fire,-,Blaze,Flash Fire,309,39,52,43,60,50,65,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
156,Quilava,2,fire,-,Blaze,Flash Fire,405,58,64,58,80,65,80,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
157,Typhlosion,2,fire,-,Blaze,Flash Fire,534,78,84,78,109,85,100,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
158,Totodile,2,water,-,Torrent,Sheer Force,314,50,65,64,44,48,43,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
159,Croconaw,2,water,-,Torrent,Sheer Force,405,65,80,80,59,63,58,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
160,Feraligatr,2,water,-,Torrent,Sheer Force,530,85,105,100,79,83,78,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
161,Sentret,2,normal,-,Run Away,Keen Eye,215,35,46,34,35,45,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
162,Furret,2,normal,-,Run Away,Keen Eye,415,85,76,64,45,55,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
163,Hoothoot,2,normal,flying,Insomnia,Keen Eye,262,60,30,30,36,56,50,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
164,Noctowl,2,normal,flying,Insomnia,Keen Eye,452,100,50,50,86,96,70,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
165,Ledyba,2,bug,flying,Swarm,Early Bird,265,40,20,30,40,80,55,1.0,2.0,1.0,0.25,2.0,4.0,0.0,2.0,0.25,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
166,Ledian,2,bug,flying,Swarm,Early Bird,390,55,35,50,55,110,85,1.0,2.0,1.0,0.25,2.0,4.0,0.0,2.0,0.25,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,Spinarak,2,bug,poison,Swarm,Insomnia,250,40,60,40,40,40,30,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
168,Ariados,2,bug,poison,Swarm,Insomnia,400,70,90,70,60,70,40,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
169,Crobat,2,poison,flying,Inner Focus,Infiltrator,535,85,90,80,70,80,130,1.0,1.0,1.0,0.25,2.0,2.0,0.0,1.0,0.25,2.0,0.25,1.0,0.5,2.0,1.0,1.0,0.5,1.0
170,Chinchou,2,water,electric,Volt Absorb,Illuminate,330,75,38,38,56,56,67,1.0,0.5,0.5,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
171,Lanturn,2,water,electric,Volt Absorb,Illuminate,460,125,58,58,76,76,67,1.0,0.5,0.5,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
172,Pichu,2,electric,-,Static,Lightningrod,205,20,40,15,35,35,60,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
173,Cleffa,2,fairy,-,Cute Charm,Magic Guard,218,50,25,28,45,55,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,0.0
174,Igglybuff,2,normal,fairy,Cute Charm,Competitive,210,90,30,15,40,20,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.0,1.0,0.0
175,Togepi,2,fairy,-,Hustle,Serene Grace,245,35,20,65,40,65,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,0.0
176,Togetic,2,fairy,flying,Hustle,Serene Grace,405,55,40,85,80,105,40,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,0.25,2.0,0.25,2.0,2.0,1.0,0.5,1.0,1.0,0.0
177,Natu,2,psychic,flying,Synchronize,Early Bird,320,40,50,45,70,45,70,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
178,Xatu,2,psychic,flying,Synchronize,Early Bird,470,65,75,70,95,70,95,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
179,Mareep,2,electric,-,Static,Plus,280,55,40,40,65,45,35,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
180,Flaaffy,2,electric,-,Static,Plus,365,70,55,55,80,60,45,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
181,Ampharos,2,electric,-,Static,Plus,610,90,95,105,165,110,45,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
182,Bellossom,2,grass,-,Chlorophyll,Healer,490,75,80,95,90,100,50,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
183,Marill,2,water,fairy,Thick Fat,Huge Power,250,70,20,50,20,50,40,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,1.0,0.0
184,Azumarill,2,water,fairy,Thick Fat,Huge Power,420,100,50,80,60,80,50,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,1.0,0.0
185,Sudowoodo,2,rock,-,Sturdy,Rock Head,410,70,100,115,30,65,30,0.5,0.5,2.0,2.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0
186,Politoed,2,water,-,Water Absorb,Damp,500,90,75,75,90,100,70,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
187,Hoppip,2,grass,flying,Chlorophyll,Leaf Guard,250,35,35,40,35,55,50,1.0,2.0,0.5,0.25,1.0,2.0,0.0,2.0,0.5,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
188,Skiploom,2,grass,flying,Chlorophyll,Leaf Guard,340,55,45,50,45,65,80,1.0,2.0,0.5,0.25,1.0,2.0,0.0,2.0,0.5,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
189,Jumpluff,2,grass,flying,Chlorophyll,Leaf Guard,460,75,55,70,55,95,110,1.0,2.0,0.5,0.25,1.0,2.0,0.0,2.0,0.5,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
190,Aipom,2,normal,-,Run Away,Pickup,360,55,70,55,40,55,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
191,Sunkern,2,grass,-,Chlorophyll,Solar Power,180,30,30,30,30,30,30,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
192,Sunflora,2,grass,-,Chlorophyll,Solar Power,425,75,75,55,105,85,30,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
193,Yanma,2,bug,flying,Speed Boost,Compoundeyes,390,65,65,45,75,45,95,1.0,2.0,1.0,0.25,2.0,4.0,0.0,2.0,0.25,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,Wooper,2,water,ground,Damp,Water Absorb,210,55,45,45,25,25,15,1.0,0.5,1.0,4.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
195,Quagsire,2,water,ground,Damp,Water Absorb,430,95,85,85,65,65,35,1.0,0.5,1.0,4.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
196,Espeon,2,psychic,-,Synchronize,Magic Bounce,525,65,65,60,130,95,110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
197,Umbreon,2,dark,-,Synchronize,Inner Focus,525,95,65,110,60,130,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.5,0.5,2.0,1.0
198,Murkrow,2,dark,flying,Insomnia,Super Luck,405,60,85,42,85,42,91,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,0.5,2.0,1.0
199,Slowking,2,water,psychic,Oblivious,Own Tempo,490,95,75,80,100,110,30,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,2.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0
200,Misdreavus,2,ghost,-,Levitate,-,435,60,60,60,85,85,85,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,2.0,2.0,1.0,1.0
201,Unown,2,psychic,-,Levitate,-,336,48,72,48,72,48,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
202,Wobbuffet,2,psychic,-,Shadow Tag,Telepathy,405,190,33,58,33,58,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
203,Girafarig,2,normal,psychic,Inner Focus,Early Bird,455,70,80,65,90,65,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0
204,Pineco,2,bug,-,Sturdy,Overcoat,290,50,65,90,35,35,15,1.0,2.0,1.0,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205,Forretress,2,bug,steel,Sturdy,Overcoat,465,75,90,140,60,60,40,0.5,4.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5
206,Dunsparce,2,normal,-,Serene Grace,Run Away,415,100,70,70,65,65,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
207,Gligar,2,ground,flying,Hyper Cutter,Sand Veil,430,65,75,105,35,65,85,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.5,4.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
208,Steelix,2,steel,ground,Rock Head,Sturdy,610,75,125,230,55,95,30,0.5,2.0,2.0,1.0,0.0,0.25,2.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5
209,Snubbull,2,fairy,-,Intimidate,Run Away,300,60,80,50,40,40,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,0.0
210,Granbull,2,fairy,-,Intimidate,Quick Feet,450,90,120,75,60,60,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,0.0
211,Qwilfish,2,water,poison,Poison Point,Swift Swim,440,65,95,85,55,55,85,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,0.5,1.0
212,Scizor,2,bug,steel,Swarm,Technician,600,70,150,140,65,100,75,0.5,4.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5
213,Shuckle,2,bug,rock,Sturdy,Gluttony,505,20,10,230,10,230,5,0.5,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0
214,Heracross,2,bug,fighting,Swarm,Guts,600,80,185,115,40,105,75,1.0,2.0,1.0,0.5,1.0,1.0,0.5,4.0,0.5,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
215,Sneasel,2,dark,ice,Inner Focus,Keen Eye,430,55,95,55,35,75,115,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,0.5,2.0,2.0,1.0,0.0,0.5,0.5,2.0,1.0
216,Teddiursa,2,normal,-,Pickup,Quick Feet,330,60,80,50,50,50,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
217,Ursaring,2,normal,-,Guts,Quick Feet,500,90,130,75,75,75,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
218,Slugma,2,fire,-,Magma Armor,Flame Body,250,40,40,40,70,40,20,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
219,Magcargo,2,fire,rock,Magma Armor,Flame Body,430,60,50,120,90,80,30,0.5,0.25,4.0,1.0,1.0,2.0,4.0,0.5,2.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0
220,Swinub,2,ice,ground,Oblivious,Snow Cloak,250,50,50,40,30,30,50,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0
221,Piloswine,2,ice,ground,Oblivious,Snow Cloak,450,100,100,80,60,60,50,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0
222,Corsola,2,water,rock,Hustle,Natural Cure,410,65,55,95,65,95,35,0.5,0.25,1.0,4.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
223,Remoraid,2,water,-,Hustle,Sniper,300,35,65,35,65,35,65,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
224,Octillery,2,water,-,Suction Cups,Sniper,480,75,105,75,105,75,45,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
225,Delibird,2,ice,flying,Vital Spirit,Hustle,330,45,55,45,65,45,75,1.0,2.0,1.0,0.5,2.0,4.0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0
226,Mantine,2,water,flying,Swift Swim,Water Absorb,485,85,40,70,80,140,70,1.0,0.5,0.5,1.0,4.0,2.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
227,Skarmory,2,steel,flying,Keen Eye,Sturdy,465,65,80,140,40,70,70,0.5,2.0,1.0,0.25,2.0,1.0,0.0,0.5,1.0,1.0,0.25,0.5,0.0,0.5,1.0,1.0,0.5,0.5
228,Houndour,2,dark,fire,Early Bird,Flash Fire,330,45,60,30,80,50,65,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0
229,Houndoom,2,dark,fire,Early Bird,Flash Fire,600,75,90,90,140,90,115,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0
230,Kingdra,2,water,dragon,Swift Swim,Sniper,540,75,95,95,95,95,85,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0
231,Phanpy,2,ground,-,Pickup,Sand Veil,330,90,60,60,40,40,40,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
232,Donphan,2,ground,-,Sturdy,Sand Veil,500,90,120,120,60,60,50,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
233,Porygon2,2,normal,-,Trace,Download,515,85,80,90,105,95,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
234,Stantler,2,normal,-,Intimidate,Frisk,465,73,95,62,85,65,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
235,Smeargle,2,normal,-,Own Tempo,Technician,250,55,20,35,20,45,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
236,Tyrogue,2,fighting,-,Guts,Steadfast,210,35,35,35,35,35,35,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
237,Hitmontop,2,fighting,-,Intimidate,Technician,455,50,95,95,35,110,70,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
238,Smoochum,2,ice,psychic,Oblivious,Forewarn,305,45,30,15,85,65,65,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
239,Elekid,2,electric,-,Static,Vital Spirit,360,45,63,37,65,55,95,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
240,Magby,2,fire,-,Flame Body,Vital Spirit,365,45,75,37,70,55,83,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
241,Miltank,2,normal,-,Thick Fat,Scrappy,490,95,80,105,40,70,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
242,Blissey,2,normal,-,Natural Cure,Serene Grace,540,255,10,10,75,135,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
243,Raikou,2,electric,-,Pressure,Inner Focus,580,90,85,75,115,100,115,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
